LP6005442-DNA_F02,39.12
LP6005441-DNA_F12,39.15
LP6005441-DNA_H10,39.17
SS6004467,39.22
LP6005677-DNA_D01,39.23
LP6005442-DNA_F12,39.27
LP6005441-DNA_G10,39.38
SS6004474,39.48
LP6005441-DNA_H06,39.49
LP6005442-DNA_E04,39.5
LP6005519-DNA_E06,39.52
SS6004471,39.59
LP6005441-DNA_H12,39.71
LP6005443-DNA_B01,39.75
LP6005443-DNA_D09,39.77
LP6005441-DNA_D09,39.79
LP6005441-DNA_G11,39.87
LP6005442-DNA_G02,39.89
LP6005442-DNA_F01,40.03
LP6005443-DNA_H08,40.04
LP6005442-DNA_B08,40.05
LP6005442-DNA_H01,40.07
LP6005441-DNA_C10,40.08
LP6005441-DNA_H08,40.12
SS6004479,40.13
LP6005441-DNA_B05,40.2
LP6005443-DNA_C04,40.22
LP6005442-DNA_G04,40.22
LP6005441-DNA_C09,40.22
LP6005441-DNA_H09,40.27
LP6005442-DNA_H04,40.31
LP6005442-DNA_G10,40.34
LP6005442-DNA_G11,40.37
LP6005441-DNA_F09,40.47
LP6005441-DNA_H05,40.54
SS6004473,40.57
LP6005442-DNA_A08,40.73
LP6005441-DNA_D07,41
LP6005441-DNA_B04,41.01
LP6005442-DNA_G12,41.02
LP6005441-DNA_A09,41.19
SS6004475,41.21
LP6005441-DNA_F01,41.23
LP6005441-DNA_F03,41.23
LP6005443-DNA_E09,41.35
LP6005442-DNA_E10,41.37
LP6005442-DNA_B10,41.38
LP6005441-DNA_G12,41.41
LP6005441-DNA_A12,41.5
LP6005442-DNA_G01,41.5
LP6005592-DNA_D04,41.64
LP6005443-DNA_B08,41.65
LP6005441-DNA_B03,41.72
LP6005592-DNA_C03,41.77
LP6005441-DNA_G09,41.82
LP6005441-DNA_C02,41.85
LP6005592-DNA_F01,41.9
LP6005442-DNA_D09,41.91
LP6005442-DNA_E12,41.96
LP6005441-DNA_D06,41.99
LP6005677-DNA_F01,42.04
LP6005441-DNA_F02,42.04
LP6005441-DNA_B09,42.06
LP6005441-DNA_D10,42.16
LP6005441-DNA_E03,42.2
LP6005443-DNA_C07,42.21
LP6007069-DNA_A01,42.34
LP6005441-DNA_C05,42.36
LP6005441-DNA_D01,42.69
LP6005442-DNA_A03,42.71
LP6005441-DNA_G05,42.73
LP6005442-DNA_B04,42.73
LP6007068-DNA_A01,42.74
LP6005441-DNA_C01,42.88
LP6005441-DNA_G03,42.94
LP6005441-DNA_C07,42.97
LP6005442-DNA_B11,42.97
LP6005441-DNA_E10,43.03
LP6005443-DNA_E10,43.13
LP6005443-DNA_D08,43.16
LP6005442-DNA_D03,43.16
SS6004477,43.26
LP6005442-DNA_H12,43.3
SS6004468,43.37
LP6005443-DNA_G02,43.54
LP6005441-DNA_H02,43.59
LP6005443-DNA_B03,43.61
LP6005441-DNA_E02,43.86
LP6005443-DNA_C08,43.9
LP6005442-DNA_G09,44
LP6005441-DNA_G02,44.08
LP6005443-DNA_G07,44.16
LP6005441-DNA_A05,44.26
LP6005677-DNA_A03,44.31
LP6005443-DNA_D06,44.32
SS6004478,44.4
SS6004472,44.45
LP6005443-DNA_G11,44.48
LP6005441-DNA_G04,44.56
LP6005443-DNA_E02,44.71
LP6005677-DNA_E01,44.82
LP6005677-DNA_C03,44.86
LP6005441-DNA_F08,44.9
LP6005441-DNA_G06,44.93
LP6005443-DNA_E05,44.97
LP6005592-DNA_D01,45.02
LP6005443-DNA_A08,45.06
LP6005441-DNA_B10,45.12
LP6005441-DNA_H07,45.13
LP6005519-DNA_D06,45.28
LP6005519-DNA_F03,45.36
LP6005443-DNA_A06,45.48
LP6005442-DNA_F10,45.54
LP6005592-DNA_H03,45.55
LP6005592-DNA_A02,45.6
LP6005443-DNA_B07,45.61
LP6005443-DNA_D03,45.64
LP6005443-DNA_A12,45.75
LP6005443-DNA_B10,45.78
LP6005592-DNA_B03,45.9
LP6005441-DNA_F04,45.92
LP6005519-DNA_A05,46.13
LP6005592-DNA_G03,46.13
LP6005443-DNA_G04,46.22
LP6005443-DNA_F10,46.29
LP6005443-DNA_G05,46.3
LP6005443-DNA_G03,46.31
LP6005592-DNA_E01,46.39
LP6005443-DNA_A03,46.46
LP6005443-DNA_G08,46.49
LP6005519-DNA_D03,46.64
LP6005443-DNA_F11,46.66
LP6005443-DNA_H07,46.73
LP6005443-DNA_H11,46.91
LP6005443-DNA_E11,46.94
LP6005519-DNA_G04,47.02
LP6005619-DNA_B01,47.08
LP6005443-DNA_C03,47.09
LP6005677-DNA_D03,47.38
LP6005519-DNA_F04,47.5
LP6005443-DNA_D02,47.53
LP6005443-DNA_D05,47.61
LP6005443-DNA_F06,47.62
LP6005443-DNA_D04,47.65
LP6005443-DNA_F01,47.79
LP6005592-DNA_E02,47.88
LP6005592-DNA_C02,48.34
LP6005443-DNA_E07,48.45
LP6005677-DNA_B02,48.53
LP6005443-DNA_F07,48.76
LP6005443-DNA_G01,48.79
LP6005519-DNA_E04,48.87
LP6005519-DNA_H04,48.95
LP6005519-DNA_B05,48.96
LP6005443-DNA_F03,49.09
LP6005443-DNA_A01,49.19
LP6005443-DNA_B06,49.25
LP6005519-DNA_E05,49.29
LP6005443-DNA_H03,49.37
LP6005519-DNA_A06,49.5
LP6005592-DNA_D03,49.51
LP6005443-DNA_A02,49.52
LP6005592-DNA_B01,49.55
LP6005519-DNA_C05,49.7
LP6005443-DNA_H05,49.74
LP6005592-DNA_F03,49.77
LP6005519-DNA_D04,49.88
LP6005592-DNA_C01,50.08
LP6005443-DNA_D01,50.2
LP6005443-DNA_H01,50.25
LP6005443-DNA_B02,50.3
LP6005443-DNA_B04,50.31
LP6005519-DNA_F06,50.55
LP6005619-DNA_C01,50.59
LP6005443-DNA_A07,50.74
LP6005443-DNA_D07,51.02
LP6005519-DNA_A04,51.14
LP6005519-DNA_G03,51.5
LP6005443-DNA_C02,51.54
LP6005592-DNA_H01,51.6
LP6005592-DNA_C05,51.72
LP6005519-DNA_B04,52.32
LP6005519-DNA_C03,52.48
LP6005519-DNA_D05,52.55
LP6005443-DNA_C06,53.33
LP6005519-DNA_C04,55
LP6005592-DNA_G01,55.85
LP6005519-DNA_B06,57.19
LP6005519-DNA_D01,58.12
LP6005443-DNA_E01,58.14
LP6005519-DNA_G02,59.78
LP6005441-DNA_F05,63.62
LP6005441-DNA_E05,65.99
LP6005441-DNA_A06,68.6
LP6005441-DNA_D05,68.83
LP6005441-DNA_B06,80.02
LP6005441-DNA_C06,83.23
